Country,Name,Age,Ht.,Nickname,MMA record
Brazil,Rani Yahya,39,5 ft 6 in (1.68 m),,28–11–1 (1 NC)
United States,Dominick Cruz,38,5 ft 8 in (1.73 m),Dominator,24–4
United States,Tim Elliott,37,5 ft 7 in (1.70 m),,19–14–1
South Korea,Kang Kyung-ho,36,5 ft 9 in (1.75 m),Mr. Perfect,19–10 (1 NC)
England,Davey Grant,38,5 ft 8 in (1.73 m),Dangerous,15–7
Brazil,Douglas Silva de Andrade,38,5 ft 7 in (1.70 m),D'Silva,29–5 (1 NC)
United States,Aljamain Sterling,34,5 ft 7 in (1.70 m),Funk Master,23–4
United States,Cody Gibson,36,5 ft 10 in (1.78 m),The Renegade,19–9
Brazil,Pedro Munhoz,37,5 ft 6 in (1.68 m),The Young Punisher,20–8 (2 NC)
United States,Rob Font,36,5 ft 8 in (1.73 m),,20–8
Ecuador,Marlon Vera,31,5 ft 8 in (1.73 m),Chito,23–8–1
United States,Henry Cejudo,37,5 ft 4 in (1.63 m),The Messenger,16–3
United States,Cody Garbrandt,32,5 ft 7 in (1.70 m),No Love,14–5
France,Taylor Lapilus,31,5 ft 6 in (1.68 m),Double Impact,19–4
Canada,Aiemann Zahabi,36,5 ft 8 in (1.73 m),,10–2
Brazil,Deiveson Figueiredo,36,5 ft 5 in (1.65 m),Deus da Guerra,22–3–1
United States,Brian Kelleher,37,5 ft 6 in (1.68 m),Boom,24–15
United States,Cody Stamann,34,5 ft 6 in (1.68 m),The Spartan,21–6–1
China,Song Yadong,26,5 ft 6 in (1.68 m),The Terminator,21–7–1 (1 NC)
United States,Sean O'Malley (fighter),29,5 ft 11 in (1.80 m),Sugar,17–1 (1 NC)
Georgia (country),Merab Dvalishvili,33,5 ft 6 in (1.68 m),The Machine,16–4
United States,Julio Arce,34,5 ft 7 in (1.70 m),,18–6
United States,Cory Sandhagen,31,5 ft 11 in (1.80 m),The Sandman,17–4
United States,Ricky Simón,31,5 ft 6 in (1.68 m),,20–5
Brazil,Raoni Barcelos,36,5 ft 7 in (1.70 m),,17–5
Russia,Petr Yan,31,5 ft 7 in (1.70 m),No Mercy,16–5
Canada,Brad Katona,32,5 ft 6 in (1.68 m),Superman,13–3
Russia,Said Nurmagomedov,31,5 ft 8 in (1.73 m),,18–3
China,Liu Pingyuan,31,5 ft 6 in (1.68 m),,15–6
United States,Montel Jackson,31,5 ft 10 in (1.78 m),Quik,13–2
United States,Jonathan Martinez,29,5 ft 7 in (1.70 m),Dragon,19–4
China,Su Mudaerji,28,5 ft 8 in (1.73 m),The Tibetan Eagle,16–6
United States,Chris Gutiérrez,32,5 ft 8 in (1.73 m),El Guapo,20–6–2
United States,Mario Bautista,30,5 ft 9 in (1.75 m),,14–2
United States,Casey Kenney,32,5 ft 7 in (1.70 m),,16–4–1
China,Alateng Heili,32,5 ft 6 in (1.68 m),,16–9–2
United States,Miles Johns,29,5 ft 7 in (1.70 m),Chapo,13–2 (1)
United States,Kyler Phillips,28,5 ft 8 in (1.73 m),The Matrix,11–2
United States,John Castañeda,32,5 ft 7 in (1.70 m),Sexi Mexi,21–6
United States,Adrian Yanez,30,5 ft 7 in (1.70 m),,16–5
Russia,Umar Nurmagomedov,28,5 ft 8 in (1.73 m),,16–0
Kazakhstan,Sergey Morozov (fighter),34,5 ft 6 in (1.68 m),,19–5
China,Aori Qileng,30,5 ft 7 in (1.70 m),Mongolian Murderer,25–10 (1 NC)
United States,Ricky Turcios,30,5 ft 9 in (1.75 m),Pretty Ricky,12–3
United States,Brady Hiestand,24,5 ft 8 in (1.73 m),Bam Bam,7–2
Brazil,Saimon Oliveira,32,5 ft 6 in (1.68 m),,18–5
United States,Victor Henry (fighter),36,5 ft 7 in (1.70 m),La Mangosta,23–6 (1 NC)
United States,Christian Rodriguez,26,5 ft 7 in (1.70 m),CeeRod,10–1
Canada,Chad Anheliger,37,5 ft 6 in (1.68 m),The Monster,12–7
Afghanistan,Javid Basharat,28,5 ft 9 in (1.75 m),The Snow Leopard,14–0 (1 NC)
Brazil,Daniel Santos,28,5 ft 7 in (1.70 m),Willycat,11–2
