Country,Name,Age,Ht.,Nickname,MMA record
United States,Cub Swanson,40,5 ft 7 in (1.70 m),Killer,29–13
United States,Darren Elkins,39,5 ft 10 in (1.78 m),The Damage,28–11
Brazil,Edson Barboza,38,5 ft 11 in (1.80 m),Junior,24–11
United States,Alex Caceres,35,5 ft 10 in (1.78 m),Bruce Leeroy,21–14 (1 NC)
United States,Max Holloway,32,5 ft 11 in (1.80 m),Blessed,25–7
United States,Daniel Pineda (fighter),38,5 ft 7 in (1.70 m),The Pit,28–15 (1 NC)
United States,Andre Fili,33,5 ft 11 in (1.80 m),Touchy,23–11 (1 NC)
United States,Brian Ortega,32,5 ft 8 in (1.73 m),T-City,15–3 (1 NC)
United States,Damon Jackson,35,5 ft 11 in (1.80 m),Action,22–6–1 (1 NC)
Mexico,Yair Rodríguez,31,5 ft 11 in (1.80 m),El Pantera,15–4 (1 NC)
South Korea,Choi Doo-ho,32,5 ft 10 in (1.78 m),The Korean Superboy,14–4–1
England,Arnold Allen,30,5 ft 8 in (1.73 m),Almighty,19–3
United States,Ryan Hall (fighter),38,5 ft 10 in (1.78 m),The Wizard,9–2
United States,Josh Emmett,38,5 ft 7 in (1.70 m),,19–4
Australia,Alexander Volkanovski,35,5 ft 6 in (1.68 m),The Great,26–3
Brazil,Ricardo Ramos (fighter),28,5 ft 9 in (1.75 m),,16–5
Canada,Gavin Tucker,37,5 ft 7 in (1.70 m),The Newfoundland Terror,13–3
United States,Calvin Kattar,35,5 ft 11 in (1.80 m),The Boston Finisher,23–6
United States,Dan Ige,32,5 ft 7 in (1.70 m),50k,18–7
United States,Alexander Hernandez,31,5 ft 9 in (1.75 m),The Great,14–7
Canada,Hakeem Dawodu,32,5 ft 8 in (1.73 m),Mean,13–4–1
England,Nathaniel Wood (fighter),30,5 ft 6 in (1.68 m),The Prospect,20–6
United States,Bryce Mitchell,29,5 ft 10 in (1.78 m),Thug Nasty,16–2
United States,Julian Erosa,34,6 ft 1 in (1.85 m),Juicy J,28–11
United States,Kevin Aguilar,35,5 ft 7 in (1.70 m),The Angel of Death,17–5
Nigeria,Sodiq Yusuff,30,5 ft 9 in (1.75 m),Super,13–3
Canada,Kyle Nelson (fighter),32,5 ft 11 in (1.80 m),The Monster,15–5–1
Brazil,Kron Gracie,35,5 ft 9 in (1.75 m),,5–2
Russia,Movsar Evloev,31,5 ft 8 in (1.73 m),,18–0
South Korea,Seung Woo Choi,31,5 ft 11 in (1.80 m),Sting,11–6
Canada,Charles Jourdain,28,5 ft 9 in (1.75 m),Air,15–7–1
England,Lerone Murphy,32,5 ft 10 in (1.78 m),The Miracle,13–0–1
Wales,Jack Shore,29,5 ft 9 in (1.75 m),Tank,17–1
Georgia (country),Giga Chikadze,35,6 ft 0 in (1.83 m),Ninja,15–3
United States,Sean Woodson,31,6 ft 2 in (1.88 m),The Sniper,11–1–1
United States,Jonathan Pearce (fighter),31,5 ft 11 in (1.80 m),JSP,14–5
United States,Billy Quarantillo,35,5 ft 10 in (1.78 m),,18–5
Brazil,Herbert Burns,36,5 ft 9 in (1.75 m),The Blaze,11–4
United States,Nate Landwehr,35,5 ft 9 in (1.75 m),The Train,17–5
Australia,Joshua Culibao,29,5 ft 9 in (1.75 m),,11–2–1
United States,Jamall Emmers,34,5 ft 10 in (1.78 m),Pretty Boy,20–7
United States,Bill Algeo,34,5 ft 11 in (1.80 m),El Señor Perfecto,18–7
Georgia (country),Ilia Topuria,27,5 ft 7 in (1.70 m),El Matador,14–0
United States,Luis Saldaña,33,5 ft 11 in (1.80 m),,16–7–1
United States,Pat Sabatini,33,5 ft 8 in (1.73 m),,18–5
China,Shayilan Nuerdanbieke,29,5 ft 8 in (1.73 m),Wolverine,39–11
Armenia,Melsik Baghdasaryan,32,5 ft 9 in (1.75 m),The Gun,8–2
Uganda,David Onama,29,5 ft 11 in (1.80 m),,11–2
Brazil,Joanderson Brito,29,5 ft 8 in (1.73 m),Tubarão,16–3–1
United States,Fernie Garcia,31,5 ft 7 in (1.70 m),,10–5
Brazil,Lucas Almeida,33,5 ft 11 in (1.80 m),,14–3
Brazil,Gabriel Miranda,33,5 ft 11 in (1.80 m),Fly,17–6
France,William Gomis,26,6 ft 0 in (1.83 m),The Jaguar,13–2
Netherlands,Jarno Errens,29,5 ft 11 in (1.80 m),,13–5–1
Brazil,Lucas Alexander,28,5 ft 11 in (1.80 m),The Lion,8–4
United States,Francis Marshall,24,5 ft 9 in (1.75 m),Fire,7–2
Venezuela,Erik Silva,36,5 ft 9 in (1.75 m),King,9–2
South Korea,Lee Jeong-yeong,28,5 ft 10 in (1.78 m),The Korean Tiger,11–1
Indonesia,Jeka Saragih,29,5 ft 8 in (1.73 m),Si Tendangan Maut,14–3
United States,Blake Bilder,33,5 ft 8 in (1.73 m),El Animal,8–2–1
Australia,Jack Jenkins,30,5 ft 7 in (1.70 m),Phar,12–3
Russia,Khusein Askhabov,29,5 ft 8 in (1.73 m),Lion,23–1
Brazil,Gabriel Santos,27,5 ft 9 in (1.75 m),Mosquitinho,10–2
Mexico,Fernando Padilla,27,6 ft 1 in (1.85 m),,15–5
Brazil,Diego Lopes (fighter),29,5 ft 11 in (1.80 m),,23–6
Tajikistan,Muhammad Naimov,29,5 ft 9 in (1.75 m),Hillman,10–2
United States,Jose Mariscal,31,5 ft 7 in (1.70 m),Machine Gun,15–6
United States,Westin Wilson,35,6 ft 1 in (1.85 m),,16–9
United States,Dennis Buzukja,26,5 ft 11 in (1.80 m),The Great,11–4
United States,Isaac Dulgarian,27,5 ft 7 in (1.70 m),The Midwest Choppa,6–0
France,Morgan Charrière,28,5 ft 8 in (1.73 m),The Last Pirate,19–9–1
Italy,Manolo Zecchini,27,5 ft 8 in (1.73 m),Angelo Veneziano,11–4
France,Yanis Ghemmouri,29,5 ft 9 in (1.75 m),The Desert Warrior,12–2
Brazil,Jean Silva,27,5 ft 7 in (1.70 m),Lord Assassin,12–2
United States,Hyder Amil,33,5 ft 9 in (1.75 m),The Hurricane,9–0
