Country,Name,Age,Ht.,Nickname,MMA record
Brazil,Matheus Nicolau,31,5 ft 6 in (1.68 m),,19–3–1
Mexico,Brandon Moreno,30,5 ft 7 in (1.70 m),The Assassin Baby,21–7–2
United States,Matt Schnell,34,5 ft 8 in (1.73 m),Danger,16–8 (1 NC)
Brazil,Alexandre Pantoja,33,5 ft 5 in (1.65 m),The Cannibal,27–5
United States,Alex Perez (fighter),31,5 ft 4 in (1.63 m),,24–7
New Zealand,Kai Kara-France,30,5 ft 5 in (1.65 m),Don't Blink,24–11 (1 NC)
Brazil,Bruno Gustavo da Silva,33,5 ft 4 in (1.63 m),Bulldog,13–5–2 (1 NC)
Jamaica,Ode' Osbourne,32,5 ft 7 in (1.70 m),The Oddity,12–6 (1 NC)
Czech Republic,David Dvořák,31,5 ft 5 in (1.65 m),The Undertaker,20–6
United States,Brandon Royval,31,5 ft 7 in (1.70 m),Raw Dawg,15–7
Iraq,Amir Albazi,30,5 ft 5 in (1.65 m),The Prince,17–1
United States,Cody Durden,32,5 ft 7 in (1.70 m),,16–5–1
United States,Nate Maness,32,5 ft 10 in (1.78 m),Mayhem,15–3
Russia,Tagir Ulanbekov,30,5 ft 6 in (1.68 m),Gifted,15–2
United States,Jimmy Flick,33,5 ft 7 in (1.70 m),The Brick,17–7
Angola,Manel Kape,30,5 ft 5 in (1.65 m),Starboy,19–6
United States,Jeff Molina,26,5 ft 6 in (1.68 m),El Jefe,11–2
Brazil,Daniel Lacerda,27,5 ft 6 in (1.68 m),Miojo,11–5
Brazil,Allan Nascimento,32,5 ft 9 in (1.75 m),Puro Osso,20–6
United States,C.J. Vergara,32,5 ft 6 in (1.68 m),,12–4–1
Ukraine,Denys Bondar,31,5 ft 6 in (1.68 m),Psycho,14–4
Mexico,Victor Altamirano,33,5 ft 8 in (1.73 m),El Magnifico,12–2
United States,Carlos Hernandez,30,5 ft 8 in (1.73 m),,9–3
Russia,Muhammad Mokaev,23,5 ft 9 in (1.75 m),The Punisher,11–0 (1 NC)
Japan,Tatsuro Taira,24,5 ft 7 in (1.70 m),,15–0
England,Jake Hadley,27,5 ft 7 in (1.70 m),White Kong,10–2
United States,Charles Johnson,33,5 ft 9 in (1.75 m),InnerG,14–6
Brazil,Alessandro Costa,28,5 ft 4 in (1.63 m),Nono,13–4
Brazil,Mateus Mendonçą,25,5 ft 6 in (1.68 m),Bocão,10–2
Mexico,Jesús Santos Aguilar,27,5 ft 4 in (1.63 m),,9–2
South Korea,Park Hyun-sung,28,5 ft 7 in (1.70 m),Peace of Mind,9–0
United States,Clayton Carpenter,27,5 ft 6 in (1.68 m),Concrete,7–0
Brazil,Jafel Filho,30,5 ft 7 in (1.70 m),Pastor,15–3
Brazil,Vinicius de Almeida Salvador,27,5 ft 7 in (1.70 m),,14–6
Australia,Steve Erceg,28,5 ft 8 in (1.73 m),Astro Boy,11–1
Myanmar,Joshua Van,22,5 ft 5 in (1.65 m),The Fearless,10–1
Mexico,Edgar Cháirez,28,5 ft 7 in (1.70 m),Pitbull,10–5
Kazakhstan,Azat Maksum,29,5 ft 7 in (1.70 m),Qazaq,17–1
Spain,Daniel Barez,35,5 ft 6 in (1.68 m),,16–6
Kazakhstan,Assu Almabayev,30,5 ft 4 in (1.63 m),Zulfikar,18–2
Brazil,Felipe dos Santos,23,5 ft 7 in (1.70 m),Lipe Detona,7–1
Peru,Kevin Borjas,26,5 ft 5 in (1.65 m),El Gallo Negro,9–2
Brazil,Rafael Ramos Estevam,27,5 ft 8 in (1.73 m),Macapá,12–0
Brazil,Felipe Bunes,34,5 ft 7 in (1.70 m),Felipinho,13–7
