Country,Name,Age,Ht.,Nickname,MMA record
Belarus,Andrei Arlovski,45,6 ft 3 in (1.91 m),The Pit Bull,34–23 (2 NC)
United States,Jon Jones,36,6 ft 4 in (1.93 m),Bones,27–1 (1 NC)
United States,Stipe Miocic,41,6 ft 4 in (1.93 m),,20–4
United States,Walt Harris (fighter),40,6 ft 5 in (1.96 m),The Big Ticket,13–10 (1 NC)
United States,Derrick Lewis,39,6 ft 3 in (1.91 m),The Black Beast,27–12 (1 NC)
Brazil,Marcos Rogério de Lima,38,6 ft 1 in (1.85 m),Pezão,21–9–1
United States,Curtis Blaydes,32,6 ft 4 in (1.93 m),Razor,17–4 (1 NC)
Poland,Marcin Tybura,38,6 ft 3 in (1.91 m),Tybur,24–8
Russia,Alexander Volkov (fighter),35,6 ft 7 in (2.01 m),Drago,37–10
Australia,Tai Tuivasa,30,6 ft 2 in (1.88 m),Bam Bam,15-6
Russia,Sergei Pavlovich,31,6 ft 3 in (1.91 m),,18–2
Suriname,Jairzinho Rozenstruik,35,6 ft 2 in (1.88 m),Bigi Boy,13–5
Moldova,Serghei Spivac,29,6 ft 3 in (1.91 m),The Polar Bear,16–4
France,Ciryl Gane,33,6 ft 5 in (1.96 m),Bon Gamin,11–2
Australia,Justin Tafa,30,6 ft 0 in (1.83 m),Bad Man,7–3 (1 NC)
United States,Don'Tale Mayes,32,6 ft 6 in (1.98 m),Lord Kong,10–6 (1 NC)
Brazil,Rodrigo Nascimento,31,6 ft 3 in (1.91 m),Zé Colmeia,11–1 (1 NC)
England,Tom Aspinall,30,6 ft 5 in (1.96 m),,14–3
Moldova,Alexander Romanov (fighter),33,6 ft 2 in (1.88 m),King Kong,17–2
United States,Josh Parisian,34,6 ft 4 in (1.93 m),,15–7
United States,Chris Barnett,37,5 ft 9 in (1.75 m),Huggy Bear / Beastboy,23–8
Brazil,Jailton Almeida,32,6 ft 3 in (1.91 m),Malhadinho,20–2
Slovakia,Martin Buday,32,6 ft 4 in (1.93 m),Badys,13–2
Egypt,Hamdy Abdelwahab,31,6 ft 2 in (1.88 m),The Hammer,5–0 (1 NC)
Nigeria,Mohammed Usman,34,6 ft 2 in (1.88 m),The Motor,10–2
Poland,Łukasz Brzeski,31,6 ft 4 in (1.93 m),The Bull,8–4–1 (1 NC)
Dominican Republic,Waldo Cortes-Acosta,32,6 ft 4 in (1.93 m),Salsa Boy,11–1
United States,Jamal Pogues,28,6 ft 3 in (1.91 m),The Stormtrooper,11–4
United States Virgin Islands,Karl Williams,34,6 ft 3 in (1.91 m),,9–1
Australia,Junior Tafa,27,6 ft 3 in (1.91 m),The Juggernaut,5–1
United States,Austen Lane,36,6 ft 6 in (1.98 m),,12–4 (1 NC)
England,Michael Parkin,28,6 ft 4 in (1.93 m),Mick,8–0
Brazil,Caio Machado,29,6 ft 4 in (1.93 m),Bigfoot,8–2–1
Bahrain,Shamil Gaziev,34,6 ft 4 in (1.93 m),,12–0
United States,Thomas Petersen,28,6 ft 1 in (1.85 m),The Train,8–2
