Country,Name,Age,Ht.,Nickname,MMA record
Sweden,Alexander Gustafsson,37,6 ft 4 in (1.93 m),The Mauler,18–8
United States,Ovince Saint Preux,40,6 ft 3 in (1.91 m),OSP,26–17
United States,Dustin Jacoby,35,6 ft 4 in (1.93 m),,19–7–1
United States,Anthony Smith (fighter),35,6 ft 4 in (1.93 m),Lionheart,37–19
Ukraine,Nikita Krylov,31,6 ft 2 in (1.88 m),The Miner,30–9
Poland,Jan Błachowicz,40,6 ft 2 in (1.88 m),The Prince of Cieszyn,29–10–1
Moldova,Ion Cuțelaba,30,6 ft 1 in (1.85 m),The Hulk,17–9–1 (1 NC)
United States,Khalil Rountree Jr.,34,6 ft 1 in (1.85 m),The War Horse,13–5 (1 NC)
United States,Devin Clark (fighter),35,6 ft 0 in (1.83 m),Brown Bear,14–9
Australia,Tyson Pedro,32,6 ft 3 in (1.91 m),,10–4
Switzerland,Volkan Oezdemir,34,6 ft 2 in (1.88 m),No Time,19–7
United States,Dominick Reyes,34,6 ft 4 in (1.93 m),The Devastator,12–4
Austria,Aleksandar Rakić,32,6 ft 5 in (1.96 m),,14–3
Poland,Marcin Prachnio,35,6 ft 3 in (1.91 m),,17–7
Russia,Magomed Ankalaev,31,6 ft 2 in (1.88 m),,19–1–1 (1 NC)
United States,Ryan Spann,32,6 ft 5 in (1.96 m),Superman,21–9
Brazil,Johnny Walker (fighter),31,6 ft 5 in (1.96 m),,21–8 (1 NC)
Australia,Jimmy Crute,28,6 ft 2 in (1.88 m),The Brute,12–4–1
United States,Alonzo Menifield,36,6 ft 0 in (1.83 m),,15–3–1
Romania,Nicolae Negumereanu,29,6 ft 1 in (1.85 m),Nicu,13–2
Nigeria,Kennedy Nzechukwu,31,6 ft 5 in (1.96 m),The African Savage,12–4
South Korea,Da Un Jung,30,6 ft 3 in (1.91 m),,15–5–1
United States,Jamahal Hill,32,6 ft 4 in (1.93 m),Sweet Dreams,12–1 (1 NC)
Brazil,Philipe Lins,38,6 ft 1 in (1.85 m),Monstro,17–5
Czech Republic,Jiří Procházka,31,6 ft 4 in (1.93 m),BJP,29–4–1
Lithuania,Modestas Bukauskas,30,6 ft 3 in (1.91 m),The Baltic Gladiator,15–6
New Zealand,Carlos Ulberg,33,6 ft 4 in (1.93 m),Black Jag,9–1
Brazil,Alex Pereira,36,6 ft 4 in (1.93 m),Poatan,9–2
Russia,Azamat Murzakanov,34,5 ft 10 in (1.78 m),The Professional,13–0
United States,Zac Pauga,35,6 ft 2 in (1.88 m),The Ripper,6–3
Sweden,Anton Turkalj,27,6 ft 4 in (1.93 m),The Pleasure Man,8–3
Brazil,Vitor Petrino,26,6 ft 2 in (1.88 m),Icão,10–0
Uzbekistan,Bogdan Guskov,31,6 ft 3 in (1.91 m),Czarevitch,15–3
Brazil,Rodolfo Bellato,28,6 ft 3 in (1.91 m),Trator,12–2
