Country,Name,Age,Ht.,Nickname,MMA record
United States,Clay Guida,42,5 ft 7 in (1.70 m),The Carpenter,38–24
United States,Jim Miller (fighter),40,5 ft 8 in (1.73 m),A-10,37–17 (1 NC)
Brazil,Charles Oliveira,34,5 ft 10 in (1.78 m),Do Bronx,34–9 (1 NC)
United States,Dustin Poirier,35,5 ft 9 in (1.75 m),The Diamond,29–8 (1 NC)
United States,Michael Johnson (fighter),37,5 ft 9 in (1.75 m),The Menace,22–19
United States,Tony Ferguson,40,5 ft 11 in (1.80 m),El Cucuy,25–10
United States,Bobby Green,37,5 ft 10 in (1.78 m),King,31–15–1 (1 NC)
United States,Drew Dober,35,5 ft 8 in (1.73 m),,27–13 (1 NC)
United States,Vinc Pichel,41,5 ft 10 in (1.78 m),From Hell,14–3
Republic of Ireland,Conor McGregor,35,5 ft 8 in (1.73 m),Notorious,22–6
United States,Kurt Holobaugh (fighter),37,5 ft 11 in (1.80 m),,20–7
United States,Beneil Dariush,34,5 ft 10 in (1.78 m),,22–6–1
New Zealand,Dan Hooker,34,6 ft 0 in (1.83 m),The Hangman,23–12
Brazil,Carlos Diego Ferreira,39,5 ft 8 in (1.73 m),,18–5
United States,Christos Giagos,34,5 ft 10 in (1.78 m),The Spartan,20–11
Mexico,Gabriel Benítez,35,5 ft 8 in (1.73 m),Moggly,23–11
Brazil,Renato Moicano,34,5 ft 11 in (1.80 m),Moicano,18–5–1
Russia,Islam Makhachev,32,5 ft 10 in (1.78 m),,25–1
Brazil,Joaquim Silva (fighter),35,5 ft 8 in (1.73 m),Netto BJJ,13–4
United States,Chris Gruetzemacher,37,5 ft 8 in (1.73 m),Gritz,15–5
Denmark,Damir Hadžović,37,5 ft 11 in (1.80 m),The Bosnian Bomber,14–7
United States,Ricky Glenn,34,6 ft 0 in (1.83 m),The Gladiator,22–8–2
United States,Gregor Gillespie,36,5 ft 9 in (1.75 m),The Gift,14–1
England,Marc Diakiese,30,5 ft 10 in (1.78 m),Bonecrusher,17–7
Peru,Claudio Puelles,27,5 ft 11 in (1.80 m),El Niño,12–3
United States,Drakkar Klose,35,5 ft 8 in (1.73 m),,14–2–1
United States,Jared Gordon,35,5 ft 9 in (1.75 m),Flash,20–6 (1 NC)
United States,Justin Gaethje,35,5 ft 11 in (1.80 m),The Highlight,25–4
United States,Lando Vannata,31,5 ft 9 in (1.75 m),Groovy,12–7–2
United States,Alex Reyes,37,5 ft 11 in (1.80 m),The Executioner,13–4
Germany,Nasrat Haqparast,28,5 ft 10 in (1.78 m),,16–5
United States,Matt Frevola,33,5 ft 9 in (1.75 m),Steamrolla,11–4–1
United States,Jalin Turner,28,6 ft 3 in (1.91 m),The Tarantula,14–7
Brazil,Thiago Moisés,28,5 ft 9 in (1.75 m),,17–7
United States,Roosevelt Roberts,30,6 ft 2 in (1.88 m),The Predator,12–4 (1 NC)
Spain,Joel Álvarez,30,6 ft 3 in (1.91 m),El Fenomeno,20–3
United States,Grant Dawson,29,5 ft 10 in (1.78 m),The Prophet,20–2–1
Azerbaijan,Rafael Fiziev,30,5 ft 8 in (1.73 m),Ataman,12–3
Armenia,Arman Tsarukyan,27,5 ft 9 in (1.75 m),Ahalkalakets,21–3
United States,Mike Davis (fighter),31,6 ft 0 in (1.83 m),Beast Boy,10–2
United States,Austin Hubbard,32,5 ft 10 in (1.78 m),Thud,15–7
France,Farès Ziam,26,6 ft 1 in (1.85 m),Smile Killer,14–4
Australia,Jamie Mullarkey,29,5 ft 8 in (1.73 m),,17–7
Germany,Ottman Azaitar,33,5 ft 8 in (1.73 m),Bulldozer,13–2
United States,Joe Solecki,30,5 ft 9 in (1.75 m),,13–4
New Zealand,Brad Riddell,32,5 ft 8 in (1.73 m),,10–4
United States,Chase Hooper,24,6 ft 1 in (1.85 m),The Teenage Dream,13–3–1
United States,Steve Garcia,31,6 ft 0 in (1.83 m),Mean Machine,15–5
England,Jai Herbert,35,6 ft 1 in (1.85 m),The Black Country Banger,12–5–1
United States,Alexander Muñoz,33,5 ft 9 in (1.75 m),,7–2
Slovakia,Ľudovít Klein,28,5 ft 8 in (1.73 m),,20–4–1
Poland,Mateusz Gamrot,33,5 ft 10 in (1.78 m),Gamer,23–2 (1NC)
Georgia (country),Guram Kutateladze,32,5 ft 11 in (1.80 m),,12–4
United States,Jordan Leavitt,28,5 ft 11 in (1.80 m),The Monkey King,11–3
United States,Michael Chandler,37,5 ft 8 in (1.73 m),Iron,23–8
Mexico,Rafa García (fighter),29,5 ft 7 in (1.70 m),Gifted,15–3
Chile,Ignacio Bahamondes,26,6 ft 3 in (1.91 m),La Jaula,14–5
United States,Terrance McKinney,29,5 ft 10 in (1.78 m),T.Wrecks,15–6
England,Paddy Pimblett,29,5 ft 10 in (1.78 m),The Baddy,21–3
France,Benoît Saint-Denis,28,5 ft 11 in (1.80 m),God of War,13–1 (1 NC)
Israel,Natan Levy,32,5 ft 9 in (1.75 m),Lethal,8–1
Russia,Viacheslav Borshchev,32,5 ft 11 in (1.80 m),Slava Claus,7–3–1
Mexico,Genaro Valdéz,32,5 ft 9 in (1.75 m),El Rayadito,10–3
Brazil,Nikolas Motta,31,5 ft 9 in (1.75 m),Iron,14–5 (1NC)
United States,Trey Ogden,34,5 ft 11 in (1.80 m),,16–6-0 (1NC)
United States,Evan Elder,26,5 ft 10 in (1.78 m),The Phenom,8–2
Mexico,Manuel Torres,28,5 ft 10 in (1.78 m),El Loco,14–2
China,Hayisaer Maheshate,24,6 ft 0 in (1.83 m),,9–3
Poland,Michał Figlak,27,5 ft 10 in (1.78 m),Mad Dog,8–1
Mexico,Daniel Zellhuber,24,6 ft 1 in (1.85 m),Golden Boy,14–1
Poland,Mateusz Rębecki,31,5 ft 7 in (1.70 m),Chińczyk,19–1
Brazil,Ismael Bonfim,28,5 ft 8 in (1.73 m),Marreta,19–4
Brazil,Melquizael Costa,27,5 ft 10 in (1.78 m),Melk,20–7
