Country,Name,Age,Ht.,Nickname,MMA record
United States,Matt Brown (fighter),43,6 ft 0 in (1.83 m),The Immortal,24–19
Brazil,Rafael dos Anjos,39,5 ft 8 in (1.73 m),,32–15
United States,Court McGee,39,5 ft 11 in (1.80 m),The Crusher,21–12
United States,Stephen Thompson (fighter),41,6 ft 0 in (1.83 m),Wonderboy,17–7–1
United States,Tim Means,39,6 ft 2 in (1.88 m),The Dirty Bird,33–15–1 (1 NC)
United States,Michael Chiesa,36,6 ft 1 in (1.85 m),Maverick,18–7
Iceland,Gunnar Nelson (fighter),35,5 ft 11 in (1.80 m),Gunni,19–5–1
United States,Neil Magny,36,6 ft 3 in (1.91 m),,29–11
United States,Kelvin Gastelum,32,5 ft 9 in (1.75 m),,18–9 (1 NC)
Argentina,Santiago Ponzinibbio,37,6 ft 0 in (1.83 m),Gente Boa,29–7
China,Li Jingliang,35,6 ft 0 in (1.83 m),The Leech,19–8
Australia,Jake Matthews (fighter),29,5 ft 9 in (1.75 m),The Celtic Kid,19–7
Brazil,Gilbert Burns,37,5 ft 10 in (1.78 m),Durinho,22–6
United States,Colby Covington,35,5 ft 11 in (1.80 m),Chaos,17–4
England,Leon Edwards,32,6 ft 0 in (1.83 m),Rocky,22–3 (1 NC)
Brazil,Elizeu Zaleski dos Santos,37,5 ft 11 in (1.80 m),Capoeira,24–7–1
Denmark,Nicolas Dalby,39,5 ft 11 in (1.80 m),Lokomotivo,23–4–1 (2 NC)
Brazil,Vicente Luque,32,5 ft 11 in (1.80 m),The Silent Assassin,22–9–1
England,Danny Roberts (fighter),36,6 ft 0 in (1.83 m),Hot Chocolate,18–7
United States,Alex Morono,33,5 ft 11 in (1.80 m),The Great White,23–9 (1 NC)
Jamaica,Randy Brown (fighter),33,6 ft 3 in (1.91 m),Rude Boy,18–5
United States,Belal Muhammad,35,5 ft 10 in (1.78 m),Remember the Name,23–3 (1 NC)
United States,Max Griffin,38,6 ft 0 in (1.83 m),Pain,20–10
United States,Niko Price,34,6 ft 0 in (1.83 m),The Hybrid,15–7 (2 NC)
United States,Trevin Giles,31,6 ft 0 in (1.83 m),The Problem,16–6
China,Song Kenan,33,6 ft 0 in (1.83 m),The Assassin,20–8
Russia,Muslim Salikhov,39,5 ft 11 in (1.80 m),King of Kung Fu,19–5
United States,Geoff Neal,33,5 ft 11 in (1.80 m),Handz of Steel,15–5
United States,Kevin Holland,31,6 ft 3 in (1.91 m),Trailblazer,25–10 (1 NC)
Brazil,Wellington Turman,27,6 ft 0 in (1.83 m),,18–8
United States,Miguel Baeza (fighter),31,6 ft 2 in (1.88 m),Caramel Thunder,10–3
United States,Sean Brady (fighter),31,5 ft 9 in (1.75 m),,16–1
Russia,Abubakar Nurmagomedov,34,5 ft 11 in (1.80 m),,17–4–1
United States,Khaos Williams,29,6 ft 0 in (1.83 m),Khaos The Ox Fighter,14–3
United States,Daniel Rodriguez (fighter),37,6 ft 2 in (1.88 m),D-Rod,17–4
United States,Gabriel Green (fighter),30,5 ft 10 in (1.78 m),Gifted,11–5
Republic of Ireland,Rhys McKee,28,6 ft 2 in (1.88 m),Skeletor,13–5–1
United States,Joaquin Buckley,29,5 ft 8 in (1.73 m),New Mansa,17–6
United States,Matthew Semelsberger,31,6 ft 1 in (1.85 m),Semi The Jedi,11–7
Kazakhstan,Shavkat Rakhmonov,29,6 ft 1 in (1.85 m),Nomad,18–0
United States,Ramiz Brahimaj,31,5 ft 10 in (1.78 m),,10–4
United States,Jared Gooden,30,6 ft 0 in (1.83 m),Nite Train,23–9
United States,Philip Rowe,33,6 ft 3 in (1.91 m),The Fresh Prince,10–4
Serbia,Uroš Medić,30,6 ft 1 in (1.85 m),The Doctor,9–2
Guyana,Carlston Harris,36,6 ft 0 in (1.83 m),Moçambique,19–5
United States,Jeremiah Wells,37,5 ft 9 in (1.75 m),,12–4–1
United States,Preston Parsons,28,5 ft 11 in (1.80 m),Pressure,11–4
United States,Bryan Battle,29,6 ft 1 in (1.85 m),The Butcher,10–2
United States,Gilbert Urbina,27,6 ft 3 in (1.91 m),,7–3
Republic of Ireland,Ian Machado Garry,26,6 ft 3 in (1.91 m),The Future,13–0
Australia,Jack Della Maddalena,27,5 ft 11 in (1.80 m),,16–2
United States,Pete Rodriguez,27,5 ft 9 in (1.75 m),Dead Game,5–2
Ecuador,Michael Morales,24,6 ft 0 in (1.83 m),,16–0
Canada,Mike Malott,32,6 ft 1 in (1.85 m),Proper,10–2–1
Switzerland,Ange Loosa,29,5 ft 10 in (1.78 m),,10–3
Russia,Rinat Fakhretdinov,32,6 ft 0 in (1.83 m),Gladiator,22–2–1
United States,Adam Fugitt,35,6 ft 1 in (1.85 m),,9–4
United States,Josh Quinlan,31,6 ft 0 in (1.83 m),The Renegade,6–1 (1 NC)
Brazil,Gabriel Bonfim,26,6 ft 1 in (1.85 m),Marretinha,15–1
Japan,Yusaku Kinoshita,23,6 ft 0 in (1.83 m),,6–3
Zimbabwe,Themba Gorimbo,33,6 ft 1 in (1.85 m),The Answer,12–4
England,Sam Patterson,27,6 ft 3 in (1.91 m),The Future,11–2–1
United States,Trey Waters,28,6 ft 5 in (1.96 m),The Truth,8–1
Peru,Rolando Bedoya,27,5 ft 11 in (1.80 m),El Cachorro,14–3
United States,Bassil Hafez,32,5 ft 11 in (1.80 m),The Habibi,8–4–1
