Country,Name,Age,Ht.,Nickname,MMA record
United States,Miesha Tate,37,5 ft 6 in (1.68 m),Cupcake,20–9
Netherlands,Germaine de Randamie,39,5 ft 9 in (1.75 m),The Iron Lady,10–4
United States,Julianna Peña,34,5 ft 7 in (1.70 m),The Venezuelan Vixen,11–5
United States,Raquel Pennington,35,5 ft 7 in (1.70 m),Rocky,16–8
United States,Holly Holm,42,5 ft 8 in (1.73 m),The Preacher's Daughter,15–6 (1 NC)
Brazil,Ketlen Vieira,32,5 ft 8 in (1.73 m),Fenômeno,14–3
Mexico,Irene Aldana,35,5 ft 9 in (1.75 m),Robles,15–7
Czech Republic,Lucie Pudilová,29,5 ft 8 in (1.73 m),,14–9
Brazil,Mayra Bueno Silva,32,5 ft 6 in (1.68 m),Sheetara,10–3–1 (1 NC)
United States,Macy Chiasson,32,5 ft 9 in (1.75 m),,8–3
Sweden,Pannie Kianzad,32,5 ft 7 in (1.70 m),Banzai,16–7
United States,Julia Avila,35,5 ft 7 in (1.70 m),Raging Panda,9–3
Brazil,Karol Rosa,29,5 ft 7 in (1.70 m),Karol,17–6
Switzerland,Stephanie Egger,35,5 ft 7 in (1.70 m),,8–5
Panama,Joselyne Edwards,28,5 ft 6 in (1.68 m),La Pantera,13–5
Argentina,Ailín Pérez,29,5 ft 5 in (1.65 m),Fiona,9–2
Brazil,Tamires Vidal,25,5 ft 6 in (1.68 m),Tratora,7–2
United States,Hailey Cowan,32,5 ft 8 in (1.73 m),All Hail,7–3
Russia,Irina Alekseeva,33,5 ft 8 in (1.73 m),Russian Ronda,5–2
Brazil,Tainara Lisboa,32,5 ft 6 in (1.68 m),Thai Panter,7–2
Brazil,Luana Santos,23,5 ft 6 in (1.68 m),,7–1
Portugal,Jacqueline Cavalcanti,26,5 ft 8 in (1.73 m),The Nightmare,6–1
France,Nora Cornolle,34,5 ft 7 in (1.70 m),,7–1
Mexico,Montserrat Rendon,34,5 ft 8 in (1.73 m),,6–0
England,Melissa Dixon,32,5 ft 7 in (1.70 m),No Mess,6–0
Brazil,Ravena Oliveira,26,5 ft 5 in (1.65 m),Kenoudy,7–2–1
