Country,Name,Age,Ht.,Nickname,MMA record
United States,Lauren Murphy,40,5 ft 7 in (1.70 m),Lucky,16–6
Scotland,Joanne Wood,38,5 ft 6 in (1.68 m),JoJo,16–8
United States,Rose Namajunas,31,5 ft 5 in (1.65 m),Thug,11–6
Ukraine,Maryna Moroz,32,5 ft 7 in (1.70 m),The Iron Lady,11–5
United States,Cortney Casey,36,5 ft 7 in (1.70 m),Cast Iron,10–10
Kyrgyzstan,Valentina Shevchenko,35,5 ft 5 in (1.65 m),Bullet,23–4–1
United States,Katlyn Chookagian,35,5 ft 9 in (1.75 m),Blonde Fighter,18–5
Venezuela,Veronica Hardy,28,5 ft 4 in (1.63 m),,8–4–1
Mexico,Alexa Grasso,30,5 ft 5 in (1.65 m),,16–3–1
United States,JJ Aldrich,31,5 ft 5 in (1.65 m),,13–6
United States,Montana De La Rosa,29,5 ft 7 in (1.70 m),,12–9–1
Brazil,Priscila Cachoeira,35,5 ft 7 in (1.70 m),Zombie Girl,12–6
United States,Andrea Lee (fighter),35,5 ft 6 in (1.68 m),KGB,13–8
United States,Maycee Barber,25,5 ft 7 in (1.70 m),The Future,13–2
Lithuania,Julija Stoliarenko,30,5 ft 7 in (1.70 m),,11–8–2
Kyrgyzstan,Antonina Shevchenko,39,5 ft 8 in (1.73 m),La Pantera,10–4
Brazil,Ariane Lipski,30,5 ft 6 in (1.68 m),Queen of Violence,17–8
Brazil,Viviane Araújo (fighter),37,5 ft 5 in (1.65 m),ViVi,12–6
Brazil,Luana Carolina,30,5 ft 7 in (1.70 m),Dread,10–4
United States,Tracy Cortez,30,5 ft 5 in (1.65 m),,11–1
Kazakhstan,Mariya Agapova,26,5 ft 6 in (1.68 m),Demonslayer,10–4
United States,Miranda Maverick,26,5 ft 3 in (1.60 m),Fear The,12–5
United States,Victoria Leonardo,33,5 ft 5 in (1.65 m),Fury,9–5
France,Manon Fiorot,33,5 ft 7 in (1.70 m),The Beast,11–1
Scotland,Casey O'Neill,26,5 ft 6 in (1.68 m),King,10–2
China,Na Liang,27,5 ft 5 in (1.65 m),Dragon Girl,19–7
Brazil,Melissa Gatto,28,5 ft 5 in (1.65 m),,8–2–2
United States,Erin Blanchfield,24,5 ft 4 in (1.63 m),Cold Blooded,12–1
Canada,Jasmine Jasudavicius,34,5 ft 7 in (1.70 m),,9–3
Brazil,Karine Silva,30,5 ft 5 in (1.65 m),Killer,17–4
Brazil,Natália Silva (fighter),27,5 ft 4 in (1.63 m),,17–5–1
United States,Juliana Miller,27,5 ft 7 in (1.70 m),Killer,3–3
Czech Republic,Tereza Bledá,22,5 ft 9 in (1.75 m),Ronda,7–1
Brazil,Gabriella Fernandes,30,5 ft 6 in (1.68 m),Gabi,8–3
Guam,Brogan Walker,34,5 ft 4 in (1.63 m),The Bear,7–4
Canada,Jamey-Lyn Horth,33,5 ft 7 in (1.70 m),,6–1
Brazil,Ketlen Souza,28,5 ft 3 in (1.60 m),Esquentadinha,13–4
Norway,Ivana Petrović,29,5 ft 8 in (1.73 m),,6–1
