Country,Name,Age,Ht.,Nickname,MMA record
Brazil,Jéssica Andrade,32,5 ft 2 in (1.57 m),Bate Estaca,25–12
United States,Carla Esparza,36,5 ft 1 in (1.55 m),Cookie Monster,19–7
United States,Jessica Penne,41,5 ft 5 in (1.65 m),,14–7
United States,Tecia Torres,34,5 ft 1 in (1.55 m),The Tiny Tornado,13–6
United States,Angela Hill,37,5 ft 3 in (1.60 m),Overkill,16–13
United States,Michelle Waterson-Gomez,38,5 ft 3 in (1.60 m),The Karate Hottie,18–12
Poland,Karolina Kowalkiewicz,38,5 ft 3 in (1.60 m),Polish Princess,16–7
United States,Tatiana Suarez,33,5 ft 5 in (1.65 m),,10–0
Brazil,Amanda Lemos,36,5 ft 4 in (1.63 m),,13–3–1
China,Yan Xiaonan,34,5 ft 5 in (1.65 m),Nine,17–3 (1 NC)
Canada,Gillian Robertson,28,5 ft 2 in (1.57 m),The Savage,13–8
Brazil,Polyana Viana,31,5 ft 7 in (1.70 m),Dama de Ferro,13–7
United States,Mackenzie Dern,30,5 ft 3 in (1.60 m),,13–4
England,Molly McCann,33,5 ft 4 in (1.63 m),Meatball,14–6
China,Zhang Weili,34,5 ft 3 in (1.60 m),Magnum,24–3
Brazil,Marina Rodriguez (fighter),36,5 ft 7 in (1.70 m),,17–3–2
Brazil,Virna Jandiroba,35,5 ft 3 in (1.60 m),Carcará,19–3
Brazil,Amanda Ribas,30,5 ft 4 in (1.63 m),,12–4
United States,Brianna Fortino,30,4 ft 11 in (1.50 m),Tha Bull,9–3
Japan,Mizuki Inoue,29,5 ft 4 in (1.63 m),,15–6
Brazil,Ariane Carnelossi,31,5 ft 2 in (1.57 m),Sorriso,14–3
Romania,Diana Belbiţă,27,5 ft 7 in (1.70 m),The Warrior Princess,15–9
Thailand,Loma Lookboonmee,28,5 ft 1 in (1.55 m),,9–3
Wales,Cory McKenna,24,5 ft 3 in (1.60 m),Poppins / The Hobbit,8–2
United States,Sam Hughes (fighter),31,5 ft 5 in (1.65 m),Sampage,8–5
Mexico,Montserrat Ruiz,31,5 ft 0 in (1.52 m),Conejo,10–4
United States,Cheyanne Vlismas,28,5 ft 3 in (1.60 m),The Warrior Princess,7–3
Mexico,Loopy Godinez,30,5 ft 2 in (1.57 m),Loopy,12–3
Brazil,Luana Pinheiro,30,5 ft 2 in (1.57 m),,11–2
Brazil,Tabatha Ricci,28,5 ft 1 in (1.55 m),Baby Shark,9–2
United States,Elise Reed,31,5 ft 3 in (1.60 m),,7–4
United States,Vanessa Demopoulos,35,5 ft 2 in (1.57 m),Lil Monster,10–5
Brazil,Istela Nunes,31,5 ft 4 in (1.63 m),,6–5 (1 NC)
Venezuela,Piera Rodriguez,31,5 ft 3 in (1.60 m),La Fiera,9–1
United States,Emily Ducote,30,5 ft 2 in (1.57 m),Gordinha,13–8
Mexico,Yazmin Jauregui,24,5 ft 3 in (1.60 m),,10–1
Brazil,Iasmin Lucindo,22,5 ft 3 in (1.60 m),,15–5
Mexico,Melissa Martinez,26,5 ft 2 in (1.57 m),Super Mely,7–1
Brazil,Denise Gomes,24,5 ft 5 in (1.65 m),,8–3
Brazil,Jaqueline Amorim,28,5 ft 3 in (1.60 m),Jacque,7–1
Brazil,Bruna Brasil,30,5 ft 6 in (1.68 m),The Special One,9–4–1
Russia,Victoria Dudakova,25,5 ft 5 in (1.65 m),,8–0
Republic of Ireland,Shauna Bannon,30,5 ft 5 in (1.65 m),Mama B,5–1
Sweden,Josefine Lindgren Knutsson,28,5 ft 3 in (1.60 m),Little Thunder,7–0
United States,Marnic Mann,30,5 ft 0 in (1.52 m),The Sawed-Off Savage,6–2
Brazil,Eduarda Moura,29,5 ft 6 in (1.68 m),Ronda,10–0
Brazil,Talita Alencar,33,5 ft 1 in (1.55 m),The Problem Child,5–0–1
Brazil,Rayanne dos Santos,28,5 ft 2 in (1.57 m),,14–7
